#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 02 05 11 56  MM   MM   MM   1.4     5   4.5   3     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 11 26  MM   MM   MM   1.5     5   4.5 359     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 10 56  MM   MM   MM   1.4     5   4.6 359     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 10 26  MM   MM   MM   1.5     5   4.6 357     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 09 56  MM   MM   MM   1.4     5   4.6 354     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 09 26  MM   MM   MM   1.5     5   4.4 354     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 08 56  MM   MM   MM   1.4     5   4.4 356     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 08 26  MM   MM   MM   1.4     5   4.5 353     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 07 56  MM   MM   MM   1.4     5   4.6 350     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 07 26  MM   MM   MM   1.4     5   4.5 352     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 06 56  MM   MM   MM   1.4     5   4.5 357     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 06 26  MM   MM   MM   1.4     5   4.5 349     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 05 56  MM   MM   MM   1.3     5   4.5 345     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 05 26  MM   MM   MM   1.4     5   4.5 339     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 04 56  MM   MM   MM   1.3     5   4.4 343     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 04 26  MM   MM   MM   1.3     5   4.4 345     MM    MM   5.7    MM   MM   MM    MM
2024 02 05 03 56  MM   MM   MM   1.3     5   4.5 342     MM    MM   5.7    MM   MM   MM    MM
2024 02 05 03 26  MM   MM   MM   1.2     4   4.4 340     MM    MM   5.7    MM   MM   MM    MM
2024 02 05 02 56  MM   MM   MM   1.2    13   4.4 121     MM    MM   5.6    MM   MM   MM    MM
2024 02 05 02 26  MM   MM   MM   1.1    12   4.6 113     MM    MM   5.7    MM   MM   MM    MM
2024 02 05 01 56  MM   MM   MM   1.1    12   4.3 120     MM    MM   5.7    MM   MM   MM    MM
2024 02 05 01 26  MM   MM   MM   1.0    12   4.7 115     MM    MM   5.7    MM   MM   MM    MM
2024 02 05 00 56  MM   MM   MM   0.9    13   4.9 121     MM    MM   5.7    MM   MM   MM    MM
2024 02 05 00 26  MM   MM   MM   0.9    11   5.9 110     MM    MM   5.7    MM   MM   MM    MM
2024 02 04 23 56  MM   MM   MM   0.9    11   5.8 110     MM    MM   5.7    MM   MM   MM    MM
2024 02 04 23 26  MM   MM   MM   0.9    11   5.6 113     MM    MM   5.6    MM   MM   MM    MM
2024 02 04 22 56  MM   MM   MM   1.0    11   5.1 107     MM    MM   5.6    MM   MM   MM    MM
2024 02 04 22 26  MM   MM   MM   0.9    11   5.0 106     MM    MM   5.6    MM   MM   MM    MM
2024 02 04 21 56  MM   MM   MM   0.9    11   5.2 106     MM    MM   5.6    MM   MM   MM    MM
2024 02 04 21 26  MM   MM   MM   0.9    11   5.0 104     MM    MM   5.6    MM   MM   MM    MM
2024 02 04 20 56  MM   MM   MM   1.0    11   5.1 103     MM    MM   5.6    MM   MM   MM    MM
2024 02 04 20 26  MM   MM   MM   1.0    10   4.8 106     MM    MM   5.6    MM   MM   MM    MM
2024 02 04 19 56  MM   MM   MM   1.0    12   4.6 107     MM    MM   5.5    MM   MM   MM    MM
2024 02 04 19 26  MM   MM   MM   1.1    11   4.6 108     MM    MM   5.5    MM   MM   MM    MM
2024 02 04 18 56  MM   MM   MM   1.1    11   4.5 114     MM    MM   5.4    MM   MM   MM    MM
2024 02 04 18 26  MM   MM   MM   1.1    12   4.6 113     MM    MM   5.3    MM   MM   MM    MM
2024 02 04 17 56  MM   MM   MM   1.1     5   4.5 353     MM    MM   5.3    MM   MM   MM    MM
2024 02 04 17 26  MM   MM   MM   1.2     5   4.8 356     MM    MM   5.3    MM   MM   MM    MM
2024 02 04 16 56  MM   MM   MM   1.2     5   4.5 359     MM    MM   5.2    MM   MM   MM    MM
2024 02 04 16 26  MM   MM   MM   1.3     4   4.5   9     MM    MM   5.2    MM   MM   MM    MM
2024 02 04 15 56  MM   MM   MM   1.4     5   4.6 357     MM    MM   5.2    MM   MM   MM    MM
2024 02 04 15 26  MM   MM   MM   1.3     5   4.4   3     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 14 56  MM   MM   MM   1.4     5   4.5 359     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 14 26  MM   MM   MM   1.4     5   4.6   0     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 13 56  MM   MM   MM   1.5     5   4.6   3     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 13 26  MM   MM   MM   1.5     5   4.6 356     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 12 56  MM   MM   MM   1.5     5   4.6   1     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 12 26  MM   MM   MM   1.4     5   4.4   7     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 11 56  MM   MM   MM   1.5     5   4.6 356     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 11 26  MM   MM   MM   1.4     5   4.5   4     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 10 56  MM   MM   MM   1.4     5   4.4   6     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 10 26  MM   MM   MM   1.3     5   4.5   1     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 09 56  MM   MM   MM   1.4     5   4.4  11     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 09 26  MM   MM   MM   1.4     5   4.4  10     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 08 56  MM   MM   MM   1.5     5   4.5   9     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 08 26  MM   MM   MM   1.4     5   4.5   4     MM    MM   5.1    MM   MM   MM    MM
2024 02 04 07 56  MM   MM   MM   1.3     5   4.4  10     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 07 26  MM   MM   MM   1.3     5   4.3  13     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 06 56  MM   MM   MM   1.5     5   4.4  11     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 06 26  MM   MM   MM   1.4     5   4.4  10     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 05 56  MM   MM   MM   1.3     5   4.3   7     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 05 26  MM   MM   MM   1.4     5   4.3  11     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 04 56  MM   MM   MM   1.4     5   4.3  14     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 04 26  MM   MM   MM   1.3     4   4.3  14     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 03 56  MM   MM   MM   1.2     4   4.2   4     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 03 26  MM   MM   MM   1.2     4   4.2  10     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 02 56  MM   MM   MM   1.2     4   4.3   3     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 02 26  MM   MM   MM   1.3     4   4.2  18     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 01 56  MM   MM   MM   1.3     4   4.2  11     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 01 26  MM   MM   MM   1.2     4   4.2  10     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 00 56  MM   MM   MM   1.1     4   4.1   6     MM    MM   5.0    MM   MM   MM    MM
2024 02 04 00 26  MM   MM   MM   1.0     4   4.1  13     MM    MM   5.0    MM   MM   MM    MM
2024 02 03 23 56  MM   MM   MM   1.0    10   4.3 106     MM    MM   5.0    MM   MM   MM    MM
2024 02 03 22 56  MM   MM   MM   0.9     9   4.5 110     MM    MM   5.0    MM   MM   MM    MM
2024 02 03 22 26  MM   MM   MM   1.0     4   4.6  16     MM    MM   5.0    MM   MM   MM    MM
2024 02 03 21 56  MM   MM   MM   1.0     9   4.4 106     MM    MM   5.0    MM   MM   MM    MM
2024 02 03 21 26  MM   MM   MM   1.1     4   4.3  11     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 20 56  MM   MM   MM   1.1     4   4.3   7     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 20 26  MM   MM   MM   1.2     5   4.3  18     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 19 56  MM   MM   MM   1.3     5   4.4  20     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 19 26  MM   MM   MM   1.3     5   4.4  13     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 18 56  MM   MM   MM   1.4     5   4.4   4     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 18 26  MM   MM   MM   1.4     5   4.4   9     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 17 56  MM   MM   MM   1.4     5   4.4 354     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 17 26  MM   MM   MM   1.3     5   4.3  11     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 16 56  MM   MM   MM   1.3     5   4.3 359     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 16 26  MM   MM   MM   1.3     5   4.4 359     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 15 56  MM   MM   MM   1.4     5   4.4   0     MM    MM   5.1    MM   MM   MM    MM
2024 02 03 15 26  MM   MM   MM   1.4     5   4.3  10     MM    MM   5.1    MM   MM   MM    MM
